threshold,is_frozen_threshold,unit_recall,false_warning_rate,unit_precision,median_first_alert_station_index,alerted_positive_units,alerted_negative_units,fwr_under_5pct
0.1,False,0.8888888888888888,0.08345606283750613,0.24778761061946902,15.0,56,170,False
0.11,False,0.8888888888888888,0.06676485027000491,0.2916666666666667,15.0,56,136,False
0.12,False,0.8888888888888888,0.05891016200294551,0.3181818181818182,15.0,56,120,False
0.125,False,0.8888888888888888,0.05351006381934217,0.3393939393939394,15.0,56,109,False
0.13,False,0.8888888888888888,0.04958271968581247,0.35668789808917195,15.0,56,101,True
0.135,False,0.873015873015873,0.047619047619047616,0.3618421052631579,15.0,55,97,True
0.1421320160758933,True,0.8571428571428571,0.044182621502209134,0.375,15.0,54,90,True
0.145,False,0.8571428571428571,0.042709867452135494,0.3829787234042553,15.0,54,87,True
0.15,False,0.8571428571428571,0.04221894943544428,0.38571428571428573,15.0,54,86,True
0.155,False,0.8571428571428571,0.039764359351988215,0.4,15.0,54,81,True
0.16,False,0.8412698412698413,0.039764359351988215,0.39552238805970147,15.0,53,81,True
0.17,False,0.8412698412698413,0.035346097201767304,0.424,15.0,53,72,True
0.18,False,0.8412698412698413,0.03289150711831124,0.44166666666666665,15.0,53,67,True
