pr_auc,roc_auc,brier,unit_recall,false_warning_rate,unit_precision,median_first_alert_station_index
0.2782419067594626,0.7359004454604068,0.01695858403742254,0.8181818181818182,0.05319148936170213,0.2465753424657534,15.0
0.36719988931559844,0.8122913912190584,0.020645269170297867,0.896551724137931,0.032305433186490456,0.4406779661016949,15.0
0.37328068265035613,0.7659085572763384,0.02779812923930639,0.8831168831168831,0.06332320162107397,0.35233160621761656,15.0
0.30090728627233854,0.7546679717316593,0.021658623975746485,0.8275862068965517,0.056851311953352766,0.2909090909090909,15.0
0.336710626136745,0.7810768247734373,0.022983940706392172,0.8571428571428571,0.044182621502209134,0.375,15.0
0.2809385814967769,0.7240863131766315,0.023981188316457347,0.7936507936507936,0.06871345029239766,0.2617801047120419,15.0
0.2787018151819118,0.7569906642811266,0.021162945869215997,0.8035714285714286,0.04720616570327553,0.3146853146853147,15.0
0.3921659657991326,0.7966149210075266,0.029645882827857996,0.8928571428571429,0.04476861167002012,0.4573170731707317,15.0
0.3541717971778206,0.8073690325072449,0.01590967652892355,0.9090909090909091,0.028738431563565515,0.40404040404040403,15.0
0.3791402289938778,0.7640723095076456,0.03261658487370343,0.8791208791208791,0.06720977596741344,0.37735849056603776,15.0
0.24913547261883823,0.7344429733116214,0.016497312851280713,0.7857142857142857,0.0436241610738255,0.2661290322580645,15.0
0.3067467753494956,0.7739608076662079,0.014636045684055217,0.8717948717948718,0.041465766634522665,0.2833333333333333,15.0
0.36820583609243895,0.7706358758161783,0.03202164856395437,0.8651685393258427,0.05701311806256307,0.4052631578947368,15.0
0.3192410849227229,0.7841695274309849,0.022474493262718578,0.8360655737704918,0.03454987834549878,0.4180327868852459,15.0
0.3067467753494956,0.7739608076662079,0.014636045684055219,0.8717948717948718,0.041465766634522665,0.2833333333333333,15.0
0.271166472721683,0.7402760395262824,0.02010112451676793,0.7884615384615384,0.042739193783389993,0.3178294573643411,16.0
0.36214265926973616,0.7774619661593154,0.028251744285717324,0.8734177215189873,0.05774016923842708,0.372972972972973,15.0
0.38740938325653296,0.8000695060139504,0.024861291283210164,0.9,0.04104104104104104,0.43448275862068964,15.0
0.3739956829444691,0.7663959073195175,0.03678551952847839,0.8640776699029126,0.060851926977687626,0.4258373205741627,15.0
0.3635563177144423,0.8010433094057092,0.019562396052175204,0.8888888888888888,0.027640671273445213,0.46153846153846156,15.0
0.3881322784272791,0.8059496531270726,0.025897116855888,0.9054054054054054,0.0456575682382134,0.42138364779874216,15.0
0.3646988116607367,0.762630226112249,0.02296084231762299,0.8888888888888888,0.059475806451612906,0.3218390804597701,15.0
0.23062865492898307,0.7021369964993636,0.01880434729861452,0.7446808510638298,0.055288461538461536,0.23333333333333334,16.0
0.19941332326655356,0.7587195029376592,0.010258222453290855,0.8,0.023865231633130556,0.28169014084507044,15.0
0.3296635965298995,0.7472637262555295,0.025860339980586823,0.8428571428571429,0.06607054148037754,0.3072916666666667,15.0
0.2782419067594626,0.7359004454604068,0.01695858403742254,0.8181818181818182,0.05319148936170213,0.2465753424657534,15.0
0.20536051654173304,0.6884414385909402,0.015237712032080854,0.7297297297297297,0.05600379686758424,0.18620689655172415,15.0
0.2964405447782631,0.7716158134849083,0.017775998531377537,0.8297872340425532,0.03099273607748184,0.3786407766990291,15.0
0.3571553900129473,0.776775309706258,0.03143583442090966,0.8505747126436781,0.047,0.44047619047619047,15.0
0.374835942238016,0.8103763708986901,0.025362864309947258,0.8888888888888888,0.03590752582390556,0.46715328467153283,15.0
0.3571553900129473,0.776775309706258,0.03143583442090966,0.8505747126436781,0.047,0.44047619047619047,15.0
0.2782419067594626,0.7359004454604068,0.016958584037422543,0.8181818181818182,0.05319148936170213,0.2465753424657534,15.0
0.2809385814967769,0.7240863131766315,0.023981188316457347,0.7936507936507936,0.06871345029239766,0.2617801047120419,15.0
0.3507071269067399,0.8144131614719315,0.02015373773608161,0.875,0.022804463852498787,0.5104166666666666,15.0
0.37622814578707614,0.8072414212631605,0.016373301019059937,0.9347826086956522,0.03832923832923833,0.35537190082644626,15.0
0.30090728627233854,0.7546679717316593,0.021658623975746482,0.8275862068965517,0.056851311953352766,0.2909090909090909,15.0
0.30090728627233854,0.7546679717316593,0.021658623975746485,0.8275862068965517,0.056851311953352766,0.2909090909090909,15.0
0.27325474767129215,0.7708169662701587,0.017308581371596948,0.8,0.02160345655304849,0.4444444444444444,16.0
0.40245476413635345,0.7874432115416905,0.029214049248433127,0.9024390243902439,0.05017921146953405,0.43023255813953487,15.0
0.3507071269067399,0.8144131614719315,0.02015373773608161,0.875,0.022804463852498787,0.5104166666666666,15.0
0.31297446995770817,0.7518678980701095,0.025324840609838632,0.8235294117647058,0.056129985228951254,0.32941176470588235,15.0
0.39262398156787537,0.7932875197305371,0.02863985493956624,0.8875,0.040081177067478435,0.47333333333333333,15.0
0.3483483491718073,0.766644307422996,0.02243848593536752,0.8688524590163934,0.04945054945054945,0.34868421052631576,15.0
0.3035384281088273,0.7889967435367786,0.01886021361300552,0.8431372549019608,0.03554274735830932,0.36752136752136755,15.0
0.31910240450932115,0.7713181670649045,0.018250551831002104,0.8571428571428571,0.04054714215925745,0.336,15.0
0.2787018151819118,0.7569906642811266,0.021162945869215997,0.8035714285714286,0.04720616570327553,0.3146853146853147,15.0
0.30090728627233854,0.7546679717316593,0.021658623975746482,0.8275862068965517,0.056851311953352766,0.2909090909090909,15.0
0.3483483491718073,0.766644307422996,0.02243848593536752,0.8688524590163934,0.04945054945054945,0.34868421052631576,15.0
0.3067467753494956,0.7739608076662079,0.014636045684055217,0.8717948717948718,0.041465766634522665,0.2833333333333333,15.0
0.3067467753494956,0.7739608076662079,0.014636045684055219,0.8717948717948718,0.041465766634522665,0.2833333333333333,15.0
0.27527062655030404,0.770877610401989,0.014192445650961776,0.8378378378378378,0.03202676864244742,0.3163265306122449,15.0
0.2506965274891116,0.7705537882804413,0.010665668538455677,0.8518518518518519,0.03303445021236432,0.24731182795698925,15.0
0.3921659657991326,0.7966149210075266,0.029645882827857996,0.8928571428571429,0.04476861167002012,0.4573170731707317,15.0
0.23062865492898307,0.7021369964993636,0.01880434729861452,0.7446808510638298,0.055288461538461536,0.23333333333333334,16.0
0.3035384281088273,0.7889967435367786,0.01886021361300552,0.8431372549019608,0.03554274735830932,0.36752136752136755,15.0
0.2233507715410546,0.7257011078903087,0.012950624540864155,0.78125,0.04448651206814955,0.21008403361344538,15.0
0.23062865492898307,0.7021369964993636,0.01880434729861452,0.7446808510638298,0.055288461538461536,0.23333333333333334,16.0
0.24092185272531685,0.7253797259909633,0.019870937356808428,0.7647058823529411,0.05960896518836433,0.23780487804878048,15.0
0.3571553900129473,0.776775309706258,0.03143583442090966,0.8505747126436781,0.047,0.44047619047619047,15.0
0.2787018151819118,0.7569906642811266,0.021162945869215997,0.8035714285714286,0.04720616570327553,0.3146853146853147,15.0
0.3483837730739505,0.7826473310168426,0.02769933190544996,0.8571428571428571,0.04785397138628515,0.4049079754601227,15.0
0.24135222720424301,0.7660817347476117,0.013755463427219844,0.8,0.022748815165876776,0.3684210526315789,16.0
0.3635563177144423,0.8010433094057092,0.0195623960521752,0.8888888888888888,0.027640671273445213,0.46153846153846156,15.0
0.41253891352968647,0.7811362980736366,0.029797344210040846,0.9166666666666666,0.06046511627906977,0.39690721649484534,15.0
0.3921659657991326,0.7966149210075266,0.029645882827857996,0.8928571428571429,0.04476861167002012,0.4573170731707317,15.0
0.24135222720424301,0.7660817347476117,0.013755463427219844,0.8,0.022748815165876776,0.3684210526315789,16.0
0.29554155212410527,0.7558803300616379,0.02479744335722943,0.803030303030303,0.04636408003904344,0.3581081081081081,16.0
0.4000918407648819,0.7830679608220329,0.038254774245913864,0.8796296296296297,0.047667862634546386,0.5053191489361702,15.0
0.360179720868059,0.7714697605235759,0.027239339782441387,0.8666666666666667,0.05321285140562249,0.38011695906432746,15.0
0.374835942238016,0.8103763708986901,0.025362864309947258,0.8888888888888888,0.03590752582390556,0.46715328467153283,15.0
0.2787018151819118,0.7569906642811266,0.021162945869215997,0.8035714285714286,0.04720616570327553,0.3146853146853147,15.0
0.3881322784272791,0.8059496531270726,0.025897116855888,0.9054054054054054,0.0456575682382134,0.42138364779874216,15.0
0.39524078640265775,0.7903598540865622,0.03441203664015651,0.8877551020408163,0.04853387259858443,0.47540983606557374,15.0
0.24913547261883823,0.7344429733116214,0.016497312851280713,0.7857142857142857,0.0436241610738255,0.2661290322580645,15.0
0.3469383166213565,0.7765167617013865,0.026689134705134565,0.8493150684931506,0.04328358208955224,0.4161073825503356,15.0
