record_type,headway_seconds,seed,vehicles_completed,simulated_duration_seconds,throughput_vehicles_per_hour_full_run,throughput_vehicles_per_hour_steady,completion_headway_cv_steady,blocked_episode_count,total_blocked_seconds,blocked_fraction_of_station_time,total_starved_seconds,starved_fraction_of_station_time,mean_buffer_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_time_weighted,max_single_buffer_p95_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_at_state_changes,max_buffer_occupancy_ratio,mean_line_wip_time_weighted,physical_rho_max,throughput_constraint_station_id,physical_headroom_station_count_lt_65pct,physical_moderate_station_count_65_75pct,physical_sensitive_station_count_75_95pct,physical_overloaded_station_count_ge_95pct,test_scope,n_vehicles_requested,selected_headway_seconds,run_count,healthy_runs_with_any_blocking,max_blocked_seconds_one_run,mean_throughput_vehicles_per_hour_full_run,std_throughput_vehicles_per_hour_full_run,mean_throughput_vehicles_per_hour_steady,std_throughput_vehicles_per_hour_steady,mean_completion_headway_cv_steady,std_completion_headway_cv_steady,mean_blocked_episode_count,std_blocked_episode_count,mean_total_blocked_seconds,std_total_blocked_seconds,mean_blocked_fraction_of_station_time,std_blocked_fraction_of_station_time,mean_total_starved_seconds,std_total_starved_seconds,mean_starved_fraction_of_station_time,std_starved_fraction_of_station_time,mean_mean_buffer_occupancy_ratio_time_weighted,std_mean_buffer_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_time_weighted,std_p95_buffer_occupancy_ratio_time_weighted,mean_max_single_buffer_p95_occupancy_ratio_time_weighted,std_max_single_buffer_p95_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_at_state_changes,std_p95_buffer_occupancy_ratio_at_state_changes,mean_max_buffer_occupancy_ratio,std_max_buffer_occupancy_ratio,mean_mean_line_wip_time_weighted,std_mean_line_wip_time_weighted
run,100.0,42001,600,61771.156560032105,34.96777655281249,36.27163764210638,0.3557336941233823,0,0.0,0.0,1523219.729091686,0.5479794971987001,0.0047993764061954715,0.0,0.5,0.3333333333333333,1.0,21.164085225383282,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42002,600,61721.31879818424,34.99601178423855,36.46894005557967,0.3607836446058022,0,0.0,0.0,1521031.0116289973,0.5476339424605008,0.003667724434533532,0.0,0.3333333333333333,0.3333333333333333,0.75,20.974867003811358,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42003,600,62430.53376948206,34.59845478777363,35.96513262988095,0.34199070867396997,0,0.0,0.0,1551024.405088585,0.5520889686645155,0.003493165455854464,0.0,0.25,0.3333333333333333,0.5,20.7515854064182,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42004,600,61706.621905704415,35.004346912730945,36.3002993273808,0.34551333433886866,0,0.0,0.0,1517610.765931588,0.5465326515346155,0.0039628986311744585,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,21.077472141249473,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42005,600,61734.34131558779,34.98862956936748,36.31518882699037,0.3630889267487883,0,0.0,0.0,1519657.9057239068,0.5470241516001497,0.004645837870019103,0.0,0.5,0.3333333333333333,0.75,21.175051374046838,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42006,600,61963.05551909548,34.85948170090388,35.97533993247225,0.3587433589059365,0,0.0,0.0,1532022.3395307288,0.5494393488708579,0.0037691209965032787,0.0,0.3333333333333333,0.3333333333333333,0.75,20.914630784982183,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42007,600,62322.0166765948,34.658698726146866,36.00191246655533,0.35621464832638156,0,0.0,0.0,1549932.5737167073,0.552660968295152,0.003698728002681184,0.0,0.3333333333333333,0.3333333333333333,0.5,20.75593911741695,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42008,600,62093.19027140504,34.78642328665655,35.949822697079675,0.34608228168477057,0,0.0,0.0,1537810.7002141366,0.5503594028024553,0.004267753636102977,0.0,0.5,0.3333333333333333,0.75,20.965560528495107,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42009,600,62434.87541937407,34.59604885076352,35.958421661624406,0.345217662991928,0,0.0,0.0,1551046.185401801,0.5520583292176041,0.0034316409143157556,0.0,0.3333333333333333,0.3333333333333333,0.75,20.740675421906186,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,42010,600,62070.81481282467,34.79896319250049,36.02241810280339,0.3488992272917934,0,0.0,0.0,1537642.092624409,0.5504974339966692,0.0031065354219755367,0.0,0.3333333333333333,0.3333333333333333,0.5,20.746974131634854,0.9064,S22,38,3,4,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42001,600,63271.15656003209,34.138778511984015,35.36956681476674,0.361940041297749,0,0.0,0.0,1590719.7290916853,0.5586957665237063,0.0036501986772926338,0.0,0.5,0.3333333333333333,0.75,20.47986344197058,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42002,600,63221.31879818424,34.1656903250496,35.56631934018998,0.3646953730715538,0,0.0,0.0,1588531.0116289973,0.5583668581795689,0.002934981224394392,0.0,0.25,0.3333333333333333,0.75,20.365598079565885,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42003,600,63917.17574972775,33.793733447448204,35.08402143879721,0.347680096045017,0,0.0,0.0,1617923.294199641,0.562506878010288,0.002838563216099128,0.0,0.25,0.3333333333333333,0.5,20.16902705690711,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42004,600,63201.62190570442,34.17633812028871,35.40772230097377,0.3506107310945986,0,0.0,0.0,1584885.7659315881,0.5572591750875587,0.0031592541066504456,0.0,0.25,0.3333333333333333,0.6666666666666666,20.45674209233694,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42005,600,63206.84131558779,34.17351595241495,35.44190932878419,0.37018183384526937,0,0.0,0.0,1585920.4057239068,0.5575769165047976,0.0036787682179185753,0.0,0.3333333333333333,0.3333333333333333,0.75,20.531524340002708,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42006,600,63453.05551909547,34.040913906028884,35.10205136005232,0.3684295615472445,0,0.0,0.0,1599072.3395307285,0.5600193810645856,0.0030182084755272748,0.0,0.25,0.3333333333333333,0.75,20.30903500069987,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42007,600,63792.016676594816,33.86003629498831,35.139875979407286,0.3622924513463997,0,0.0,0.0,1616082.573716708,0.5629692860261919,0.003006472699808424,0.0,0.25,0.3333333333333333,0.5,20.172788482041252,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42008,600,63593.190271405045,33.96590092086092,35.069382101178576,0.3598175597778544,0,0.0,0.0,1605310.7002141369,0.5609652694513501,0.003188637931555611,0.0,0.25,0.3333333333333333,0.5,20.29850148351056,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42009,600,63932.37541937407,33.78569912084689,35.07605664092062,0.35819891420195443,0,0.0,0.0,1618433.685401801,0.5625505508439159,0.002735668311282722,0.0,0.25,0.3333333333333333,0.75,20.148191057057932,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
