record_type,headway_seconds,seed,vehicles_completed,simulated_duration_seconds,throughput_vehicles_per_hour_full_run,throughput_vehicles_per_hour_steady,completion_headway_cv_steady,blocked_episode_count,total_blocked_seconds,blocked_fraction_of_station_time,total_starved_seconds,starved_fraction_of_station_time,mean_buffer_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_time_weighted,max_single_buffer_p95_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_at_state_changes,mean_line_wip_time_weighted,physical_rho_max,physical_headroom_station_count_lt_65pct,physical_moderate_station_count_65_75pct,physical_sensitive_station_count_75_95pct,physical_overloaded_station_count_ge_95pct,run_count,healthy_runs_with_any_blocking,max_blocked_seconds_one_run,mean_throughput_vehicles_per_hour_full_run,std_throughput_vehicles_per_hour_full_run,mean_throughput_vehicles_per_hour_steady,std_throughput_vehicles_per_hour_steady,mean_completion_headway_cv_steady,std_completion_headway_cv_steady,mean_blocked_episode_count,std_blocked_episode_count,mean_total_blocked_seconds,std_total_blocked_seconds,mean_blocked_fraction_of_station_time,std_blocked_fraction_of_station_time,mean_total_starved_seconds,std_total_starved_seconds,mean_starved_fraction_of_station_time,std_starved_fraction_of_station_time,mean_mean_buffer_occupancy_ratio_time_weighted,std_mean_buffer_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_time_weighted,std_p95_buffer_occupancy_ratio_time_weighted,mean_max_single_buffer_p95_occupancy_ratio_time_weighted,std_max_single_buffer_p95_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_at_state_changes,std_p95_buffer_occupancy_ratio_at_state_changes,mean_mean_line_wip_time_weighted,std_mean_line_wip_time_weighted
run,107.5,31002,450,50627.7144913073,31.99828426539285,33.39325396222653,0.39517535414177923,0,0.0,0.0,1348532.978154305,0.5919168940499074,0.0016907528152246348,0.0,0.25,0.25,18.671928582679506,0.8431627906976744,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,107.5,31003,450,50018.58790391094,32.387959514413495,33.73984729738361,0.371606222419591,0,0.0,0.0,1321163.712164433,0.5869656628462812,0.0018738122282036037,0.0,0.25,0.25,18.928450704135933,0.8431627906976744,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,107.5,31004,450,50320.87706191411,32.19339754366313,33.42951068962492,0.38082037214573644,0,0.0,0.0,1334497.7043832645,0.5893280537491945,0.0016511721667591206,0.0,0.25,0.25,18.782800899231578,0.8431627906976744,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,107.5,31005,450,50133.435983097384,32.31376362366599,33.762876183239925,0.390314606979027,0,0.0,0.0,1326564.841899563,0.5880151266475765,0.001536041189012866,0.0,0.25,0.25,18.82092236025877,0.8431627906976744,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,31001,450,49347.617516211125,32.82833258298267,34.0456602944656,0.35629021974368363,0,0.0,0.0,1289737.284732918,0.5807945751424589,0.0020966486918413438,0.0,0.25,0.25,19.24612499175829,0.8632380952380952,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,31002,450,49502.7144913073,32.725478120689175,34.188280375250585,0.39038113937002555,0,0.0,0.0,1297907.978154305,0.5826427865810238,0.0020530376324410828,0.0,0.25,0.25,19.155210518025132,0.8632380952380952,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,31003,450,48896.08790391093,33.13148493972715,34.55166334553755,0.3686184928712016,0,0.0,0.0,1270651.2121644323,0.5774836968377496,0.0022665924225128064,0.0,0.25,0.25,19.426541801388304,0.8632380952380952,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,31004,450,49198.37706191411,32.92791544650543,34.228551200074875,0.37556211978911674,0,0.0,0.0,1283985.2043832645,0.5799582475239524,0.0019572914686081734,0.0,0.25,0.25,19.260451258767123,0.8632380952380952,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,31005,450,49010.935983097384,33.05384742210793,34.571189711540406,0.3840855125921388,0,0.0,0.0,1276052.341899563,0.5785794157993368,0.0018390904127537366,0.0,0.25,0.25,19.301095942916703,0.8632380952380952,41,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,31001,450,48222.61751621111,33.59419466302095,34.884205581722526,0.3544126848945333,0,0.0,0.0,1239112.2847329173,0.5710148052490847,0.002534694181457457,0.0,0.25,0.25,19.765965038021506,0.8842926829268293,40,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
