candidate,score_space,calibration,policy,threshold,unit_recall,false_warning_rate,unit_precision,median_first_alert_station_index,detected_before_final_inspection,positive_units,negative_units,alerted_positive_units,alerted_negative_units,selected_for_candidate,selected_final
natural,raw_probability,none,raw,0.13426717493141607,0.8447488584474886,0.03942781584325039,0.36062378167641324,15.0,0.8447488584474886,219,8319,185,328,False,False
natural,raw_probability,none,ema_0.3,0.07881494489439399,0.8447488584474886,0.04519774011299435,0.32976827094474154,16.0,0.8447488584474886,219,8319,185,376,False,False
natural,raw_probability,none,ema_0.5,0.10656879324442287,0.8447488584474886,0.03654285370837841,0.3783231083844581,16.0,0.8447488584474886,219,8319,185,304,False,False
natural,raw_probability,none,ema_0.7,0.12379284977741857,0.8447488584474886,0.03510037264094242,0.38784067085953877,15.0,0.8447488584474886,219,8319,185,292,False,False
natural,raw_probability,none,two_consecutive,0.12494215506938067,0.8447488584474886,0.03053251592739512,0.4214123006833713,16.0,0.8447488584474886,219,8319,185,254,False,False
natural,raw_probability,none,two_of_three,0.12885994787940522,0.8447488584474886,0.030051688904916458,0.42528735632183906,16.0,0.8447488584474886,219,8319,185,250,True,False
bagging_4p5pct_x5,raw_probability,none,raw,0.22111335890424458,0.8447488584474886,0.04050967664382738,0.3544061302681992,15.0,0.8447488584474886,219,8319,185,337,False,False
bagging_4p5pct_x5,raw_probability,none,ema_0.3,0.13730809883132722,0.8493150684931506,0.04363505228993869,0.33879781420765026,16.0,0.8493150684931506,219,8319,186,363,False,False
bagging_4p5pct_x5,raw_probability,none,ema_0.5,0.15169700832618105,0.8493150684931506,0.04652001442481067,0.32460732984293195,15.0,0.8493150684931506,219,8319,186,387,False,False
bagging_4p5pct_x5,raw_probability,none,ema_0.7,0.16047052518826863,0.8493150684931506,0.04964539007092199,0.3105175292153589,15.0,0.8493150684931506,219,8319,186,413,False,False
bagging_4p5pct_x5,raw_probability,none,two_consecutive,0.151859818292911,0.8493150684931506,0.04856352927034499,0.3152542372881356,16.0,0.8493150684931506,219,8319,186,404,False,False
bagging_4p5pct_x5,raw_probability,none,two_of_three,0.16607617226675897,0.8493150684931506,0.04243298473374204,0.3450834879406308,16.0,0.8493150684931506,219,8319,186,353,True,False
bagging_4p5pct_x7,raw_probability,none,raw,0.2437925637122751,0.8447488584474886,0.03594181993028008,0.3822314049586777,15.0,0.8447488584474886,219,8319,185,299,False,False
bagging_4p5pct_x7,raw_probability,none,ema_0.3,0.1376649962925665,0.8493150684931506,0.04387546580117803,0.33756805807622503,16.0,0.8493150684931506,219,8319,186,365,True,False
bagging_4p5pct_x7,raw_probability,none,ema_0.5,0.15375566208691252,0.8493150684931506,0.04483711984613535,0.33273703041144903,15.0,0.8493150684931506,219,8319,186,373,False,False
bagging_4p5pct_x7,raw_probability,none,ema_0.7,0.22341764780418893,0.8447488584474886,0.03185479023921144,0.4111111111111111,15.0,0.8447488584474886,219,8319,185,265,False,False
bagging_4p5pct_x7,raw_probability,none,two_consecutive,0.19022720295803724,0.8447488584474886,0.035220579396562084,0.38702928870292885,16.0,0.8447488584474886,219,8319,185,293,False,False
bagging_4p5pct_x7,raw_probability,none,two_of_three,0.15622365266791188,0.8493150684931506,0.04591898064671235,0.3274647887323944,16.0,0.8493150684931506,219,8319,186,382,False,False
bagging_5p0pct_x5,raw_probability,none,raw,0.2154867703185923,0.8493150684931506,0.04700084144728934,0.3223570190641248,15.0,0.8493150684931506,219,8319,186,391,True,False
